ID,BillingType,Status,Category,DateAdd,LastOnline,MrrTotal,Quantity,ServicesStart Date,ServicesEnd Date,ServicesStatus,ServiceName,Price,Locations
4,recurring,active,person,2019-01-03,2022-11-11T00:49:41,26000,1,2021-07-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
5,recurring,disabled,person,2019-01-11,2021-06-27T18:28:05,0,1,2021-07-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
14,recurring,active,person,2019-01-12,2022-11-10T16:01:54,26000,1,2019-01-14,2019-06-30,hidden,FTTH 25,42000,PYAY-CITY-FTTH
28,recurring,active,person,2019-02-01,2022-11-11T00:44:33,0,1,2019-01-23,,hidden,FTTH 15,26000,APN - Thilawa SEZ
72,recurring,disabled,person,2019-02-19,2022-07-01T00:03:16,0,1,2019-01-31,2019-08-26,hidden,FTTH 15,26000,PYAY-CITY-FTTH
77,recurring,active,person,2019-02-25,2022-11-11T00:46:37,42000,1,2019-01-31,2019-06-14,hidden,FTTH 15,26000,APN - San Chaung Garden
79,recurring,disabled,person,2019-02-22,2019-09-06T10:34:44,0,1,2021-07-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
82,recurring,blocked,person,2019-02-26,2022-05-04T11:27:49,0,1,2021-09-01,,active,FTTH 60,75000,PYAY-CITY-FTTH
85,recurring,disabled,person,2019-02-27,2020-02-01T13:43:47,0,1,2021-07-01,2022-01-31,disabled,FTTH 15,26000,PYAY-CITY-FTTH
114,recurring,active,person,2019-03-08,2022-11-11T00:49:42,26000,1,2022-02-20,,hidden,FTTH 25,42000,PYAY-CITY-FTTH
118,recurring,active,person,2019-03-11,2022-11-11T00:49:37,22285.7142,1,2021-11-01,2021-11-27,hidden,FTTH 15,26000,PYAY-CITY-FTTH
120,recurring,disabled,person,2019-03-19,2019-12-02T14:30:45,0,1,2019-02-22,,hidden,FTTH 25,42000,PYAY-CITY-FTTH
127,recurring,active,person,2019-03-15,2022-11-11T00:49:41,35000,1,2019-02-22,,hidden,FTTH 15,26000,PYAY-CITY-FTTH
129,recurring,active,person,2019-03-16,2022-11-11T00:49:52,26000,1,2019-03-01,2019-11-04,hidden,Business 15,40000,PYAY-CITY-FTTH
133,recurring,active,person,2019-03-19,2022-11-11T00:49:42,22285.7142,1,2019-02-28,,hidden,FTTH 25,42000,PYAY-CITY-FTTH
142,recurring,blocked,person,2019-03-28,2022-11-11T00:09:32,26000,1,2021-09-01,2022-05-04,disabled,FTTH 25,42000,PYAY-CITY-FTTH
146,recurring,active,person,2019-03-26,2022-11-11T00:49:37,26000,1,2021-08-01,2021-11-30,disabled,FTTH 15,26000,PYAY-CITY-FTTH
148,recurring,active,person,2019-03-28,2022-11-11T00:49:38,19500,1,2021-07-01,,hidden,FTTH 15,26000,PYAY-CITY-FTTH
154,recurring,disabled,person,2019-03-30,2020-04-01T11:14:10,0,1,2021-07-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
157,recurring,disabled,person,2019-04-01,2020-07-01T10:53:04,0,1,2021-09-01,,active,FTTH 60,75000,PYAY-CITY-FTTH
158,recurring,active,person,2019-04-02,2022-11-11T00:49:40,26000,1,2021-07-01,,active,FTTH 15,26000,PYAY-CITY-FTTH
